Elapsed Time 	Action 	 X	Y
337.892	Pressed Left	2394	1225
337.897	Key	LShiftKey
337.911	Pressed Left	2391	1260
337.916	Key	LShiftKey
337.931	Pressed Left	2439	1226
344.945	Pressed Left	1320	612
344.971	Pressed Left	1312	621
351.995	Pressed Left	1322	618
352.021	Pressed Left	1314	620
352.053	Key	LShiftKey
352.068	Pressed Left	2394	1225
352.073	Key	LShiftKey
352.088	Pressed Left	2391	1260
352.093	Key	LShiftKey
352.107	Pressed Left	2439	1226
359.997	Pressed Left	1462	625
360.022	Pressed Left	1467	637
360.055	Key	LShiftKey
360.07	Pressed Left	2394	1225
360.075	Key	LShiftKey
360.09	Pressed Left	2391	1260
360.095	Key	LShiftKey
360.11	Pressed Left	2439	1226
367.311	Pressed Left	1476	630
367.336	Pressed Left	1477	631
374.794	Pressed Left	1233	880
374.82	Pressed Left	1233	873
374.852	Key	LShiftKey
374.867	Pressed Left	2394	1225
374.872	Key	LShiftKey
374.887	Pressed Left	2391	1260
374.892	Key	LShiftKey
374.907	Pressed Left	2439	1226
381.946	Pressed Left	1456	652
381.972	Pressed Left	1448	642
382.004	Key	LShiftKey
382.019	Pressed Left	2394	1225
382.024	Key	LShiftKey
382.039	Pressed Left	2391	1260
382.044	Key	LShiftKey
382.058	Pressed Left	2439	1226
389.383	Pressed Left	1233	875
389.409	Pressed Left	1234	887
389.441	Key	LShiftKey
389.456	Pressed Left	2394	1225
389.461	Key	LShiftKey
389.476	Pressed Left	2391	1260
389.481	Key	LShiftKey
389.495	Pressed Left	2439	1226
397.257	Pressed Left	1214	896
397.283	Pressed Left	1208	892
397.315	Key	LShiftKey
397.329	Pressed Left	2394	1225
397.334	Key	LShiftKey
397.348	Pressed Left	2391	1260
397.353	Key	LShiftKey
397.368	Pressed Left	2439	1226
404.411	Pressed Left	1347	697
404.437	Pressed Left	1346	707
404.469	Key	LShiftKey
404.484	Pressed Left	2394	1225
404.489	Key	LShiftKey
404.504	Pressed Left	2391	1260
404.509	Key	LShiftKey
404.523	Pressed Left	2439	1226
411.702	Pressed Left	1330	826
411.728	Pressed Left	1331	829
411.76	Key	LShiftKey
411.775	Pressed Left	2394	1225
411.78	Key	LShiftKey
411.795	Pressed Left	2391	1260
411.801	Key	LShiftKey
411.815	Pressed Left	2439	1226
418.862	Pressed Left	1486	639
418.888	Pressed Left	1480	641
426.341	Pressed Left	1223	881
426.367	Pressed Left	1226	887
433.578	Pressed Left	1269	982
433.604	Pressed Left	1278	976
433.636	Key	LShiftKey
433.65	Pressed Left	2394	1225
433.655	Key	LShiftKey
433.669	Pressed Left	2391	1260
433.674	Key	LShiftKey
433.688	Pressed Left	2439	1226
440.733	Pressed Left	1307	615
440.758	Pressed Left	1322	614
440.79	Key	LShiftKey
440.804	Pressed Left	2394	1225
440.809	Key	LShiftKey
440.824	Pressed Left	2391	1260
440.829	Key	LShiftKey
440.844	Pressed Left	2439	1226
448.299	Pressed Left	1319	587
448.325	Pressed Left	1327	594
448.357	Key	LShiftKey
448.372	Pressed Left	2394	1225
448.377	Key	LShiftKey
448.392	Pressed Left	2391	1260
448.398	Key	LShiftKey
448.412	Pressed Left	2439	1226
455.602	Pressed Left	1438	777
455.629	Pressed Left	1438	773
455.661	Key	LShiftKey
455.675	Pressed Left	2394	1225
455.68	Key	LShiftKey
455.694	Pressed Left	2391	1260
455.699	Key	LShiftKey
455.714	Pressed Left	2439	1226
464.592	Pressed Left	1338	823
464.617	Pressed Left	1342	832
464.649	Key	LShiftKey
464.664	Pressed Left	2394	1225
464.669	Key	LShiftKey
464.684	Pressed Left	2391	1260
464.689	Key	LShiftKey
464.703	Pressed Left	2439	1226
472.048	Pressed Left	1243	881
472.074	Pressed Left	1241	874
480.111	Pressed Left	1402	790
480.137	Pressed Left	1404	789
487.607	Pressed Left	1238	878
487.632	Pressed Left	1247	879
487.664	Key	LShiftKey
487.679	Pressed Left	2394	1225
487.684	Key	LShiftKey
487.701	Pressed Left	2391	1260
487.706	Key	LShiftKey
487.721	Pressed Left	2439	1226
496.193	Pressed Left	1409	785
496.219	Pressed Left	1409	792
496.251	Key	LShiftKey
496.265	Pressed Left	2394	1225
496.27	Key	LShiftKey
496.284	Pressed Left	2391	1260
496.289	Key	LShiftKey
496.304	Pressed Left	2439	1226
504.048	Pressed Left	1241	887
504.074	Pressed Left	1243	876
511.145	Pressed Left	1408	794
511.171	Pressed Left	1409	793
511.203	Key	LShiftKey
511.217	Pressed Left	2394	1225
511.222	Key	LShiftKey
511.236	Pressed Left	2391	1260
511.241	Key	LShiftKey
511.258	Pressed Left	2439	1226
518.443	Pressed Left	1332	828
518.469	Pressed Left	1341	832
518.502	Key	LShiftKey
518.517	Pressed Left	2394	1225
518.523	Key	LShiftKey
518.539	Pressed Left	2391	1260
518.544	Key	LShiftKey
518.559	Pressed Left	2439	1226
525.579	Pressed Left	1245	882
525.604	Pressed Left	1249	882
533.479	Pressed Left	1404	784
533.505	Pressed Left	1404	791
540.802	Pressed Left	1238	877
540.827	Pressed Left	1245	883
547.847	Pressed Left	1412	788
547.872	Pressed Left	1407	789
547.905	Key	LShiftKey
547.92	Pressed Left	2394	1225
547.925	Key	LShiftKey
547.94	Pressed Left	2391	1260
547.945	Key	LShiftKey
