Subject Name:C:\Users\pnkid\Desktop\mousedata\Firstrun.txt
File Created: 11/30/2019 2:02:46 PM 
Version: 2.3 
Released: 4/22/2012
 
Elapsed Time 	Action 	 X	Y
0.707	Moved	1567	778
0.708	Moved	1567	779
0.709	Moved	1567	782
0.71	Moved	1567	783
0.711	Moved	1567	785
0.712	Moved	1567	787
0.713	Moved	1567	789
0.714	Moved	1567	791
0.715	Moved	1567	792
0.716	Moved	1567	794
0.717	Moved	1567	796
0.718	Moved	1567	797
0.719	Moved	1567	799
0.72	Moved	1567	801
0.721	Moved	1567	802
0.722	Moved	1567	804
0.723	Moved	1567	805
0.724	Moved	1567	807
0.725	Moved	1567	808
0.726	Moved	1567	809
0.727	Moved	1567	811
0.728	Moved	1567	812
0.729	Moved	1568	814
0.73	Moved	1568	815
0.731	Moved	1568	816
0.732	Moved	1568	818
0.733	Moved	1568	819
0.734	Moved	1568	820
0.735	Moved	1568	821
0.736	Moved	1568	822
0.737	Moved	1568	824
0.738	Moved	1568	825
0.739	Moved	1568	826
0.74	Moved	1568	827
0.741	Moved	1568	828
0.742	Moved	1568	829
0.743	Moved	1568	830
0.744	Moved	1568	831
0.745	Moved	1568	833
0.746	Moved	1568	834
0.747	Moved	1568	835
0.748	Moved	1568	836
0.749	Moved	1568	837
0.75	Moved	1568	838
0.751	Moved	1568	839
0.752	Moved	1568	840
0.753	Moved	1568	841
0.754	Moved	1568	842
0.755	Moved	1568	843
0.756	Moved	1568	844
0.757	Moved	1567	845
0.758	Moved	1567	846
0.759	Moved	1566	847
0.76	Moved	1566	848
0.761	Moved	1566	849
0.762	Moved	1565	850
0.763	Moved	1565	851
0.764	Moved	1564	852
0.765	Moved	1564	853
0.766	Moved	1563	854
0.767	Moved	1562	855
0.768	Moved	1562	856
0.769	Moved	1561	857
0.77	Moved	1560	858
0.771	Moved	1560	859
0.772	Moved	1559	860
0.773	Moved	1558	861
0.774	Moved	1557	861
0.775	Moved	1556	862
0.776	Moved	1555	863
0.777	Moved	1554	864
0.778	Moved	1553	865
0.779	Moved	1552	866
0.78	Moved	1551	867
0.781	Moved	1550	868
0.782	Moved	1549	868
0.783	Moved	1548	869
0.784	Moved	1547	870
0.785	Moved	1545	871
0.786	Moved	1544	872
0.787	Moved	1543	872
0.788	Moved	1541	873
0.789	Moved	1540	874
0.79	Moved	1539	874
0.791	Moved	1538	875
0.792	Moved	1536	876
0.793	Moved	1535	876
0.794	Moved	1534	877
0.795	Moved	1532	878
0.796	Moved	1531	878
0.797	Moved	1530	878
0.798	Moved	1528	879
0.799	Moved	1527	879
0.8	Moved	1525	880
0.801	Moved	1524	880
0.802	Moved	1522	880
0.803	Moved	1521	881
0.804	Moved	1519	881
0.805	Moved	1518	881
0.806	Moved	1517	881
